a0  accuracy0000
a1  accuracy0001
1   rightward0000
2   leftward0000
3   rightward0001
4   leftward0001
5   rightward0002
6   leftward0002
7   rightward0003
8   leftward0003
9   leftward0004
10  rightward0004
11  leftward0005
12  leftward0006
13  rightward0005
14  leftward0007
15  rightward0006
16  rightward0007
17  leftward0008
18  rightward0008
19  rightward0009
20  rightward0010
21  leftward0009
22  leftward0010
23  rightward0011
24  rightward0012
25  leftward0011
26  leftward0012
27  rightward0013
28  rightward0014
29  leftward0013
30  leftward0014
31  leftward0015
32  leftward0016
33  leftward0017
34  leftward0018
35  rightward0015
36  leftward0019
37  leftward0020
38  leftward0021
39  rightward0016
40  leftward0022
41  rightward0017
42  leftward0023
43  leftward0024
44  leftward0025
45  leftward0026
46  leftward0027
47  rightward0018
48  leftward0028
49  leftward0029
50  leftward0030
51  rightward0019
52  leftward0031
53  leftward0032
54  leftward0033
55  leftward0034
56  leftward0035
57  rightward0020
58  leftward0036
59  leftward0037
60  leftward0038
61  leftward0039
62  rightward0021
63  leftward0040
64  leftward0041
65  leftward0042
66  rightward0022
67  leftward0043
68  leftward0044
69  leftward0045
70  leftward0046
71  leftward0047
72  leftward0048
73  rightward0023
74  leftward0049
75  leftward0050
76  rightward0024
77  leftward0051
78  leftward0052
79  leftward0053
80  leftward0054
81  leftward0055
82  rightward0025
83  leftward0056
84  leftward0057
85  leftward0058
86  rightward0026
87  leftward0059
88  leftward0060
89  leftward0061
90  leftward0062
91  leftward0063
92  leftward0064
93  rightward0027
94  leftward0065
95  leftward0066
96  rightward0028
97  leftward0067
98  leftward0068
99  leftward0069
100 leftward0070
101 leftward0071
102 leftward0072
103 rightward0029
104 leftward0073
105 leftward0074
106 leftward0075
107 leftward0076
108 rightward0030
109 leftward0077
110 leftward0078
111 rightward0031
112 leftward0079
113 leftward0080
114 leftward0081
115 leftward0082
116 leftward0083
117 leftward0084
118 rightward0032
119 leftward0085
120 leftward0086
