a0  accuracy0000
a1  accuracy0001
1   rightward0000
2   leftward0000
3   rightward0001
4   leftward0001
5   rightward0002
6   leftward0002
7   rightward0003
8   leftward0003
9   leftward0004
10  rightward0004
11  leftward0005
12  leftward0006
13  rightward0005
14  leftward0007
15  rightward0006
16  rightward0007
17  leftward0008
18  rightward0008
19  rightward0009
20  rightward0010
21  leftward0009
22  leftward0010
23  rightward0011
24  rightward0012
25  leftward0011
26  leftward0012
27  rightward0013
28  rightward0014
29  leftward0013
30  leftward0014
31  rightward0015
32  rightward0016
33  rightward0017
34  rightward0018
35  leftward0015
36  rightward0019
37  rightward0020
38  rightward0021
39  leftward0016
40  rightward0022
41  leftward0017
42  rightward0023
43  rightward0024
44  rightward0025
45  rightward0026
46  rightward0027
47  leftward0018
48  rightward0028
49  rightward0029
50  rightward0030
51  leftward0019
52  rightward0031
53  rightward0032
54  rightward0033
55  rightward0034
56  rightward0035
57  leftward0020
58  rightward0036
59  rightward0037
60  rightward0038
61  rightward0039
62  leftward0021
63  rightward0040
64  rightward0041
65  rightward0042
66  leftward0022
67  rightward0043
68  rightward0044
69  rightward0045
70  rightward0046
71  rightward0047
72  rightward0048
73  leftward0023
74  rightward0049
75  rightward0050
76  leftward0024
77  rightward0051
78  rightward0052
79  rightward0053
80  rightward0054
81  rightward0055
82  leftward0025
83  rightward0056
84  rightward0057
85  rightward0058
86  leftward0026
87  rightward0059
88  rightward0060
89  rightward0061
90  rightward0062
91  rightward0063
92  rightward0064
93  leftward0027
94  rightward0065
95  rightward0066
96  leftward0028
97  rightward0067
98  rightward0068
99  rightward0069
100 rightward0070
101 rightward0071
102 rightward0072
103 leftward0029
104 rightward0073
105 rightward0074
106 rightward0075
107 rightward0076
108 leftward0030
109 rightward0077
110 rightward0078
111 leftward0031
112 rightward0079
113 rightward0080
114 rightward0081
115 rightward0082
116 rightward0083
117 rightward0084
118 leftward0032
119 rightward0085
120 rightward0086
